效果ID,注释,火系技能威力百分比,水系技能威力百分比,草系技能威力百分比,妖系技能威力百分比,恶系技能威力百分比,龙系技能威力百分比,冰系技能威力百分比,鬼系技能威力百分比,普通系技能威力,电系技能威力,虫系技能威力,飞行系技能威力,地面系技能威力,岩石系技能威力,格斗系技能威力,超能系技能威力,钢系技能威力,毒系技能威力,暴击伤害百分比,暴击率百分比,命中百分比,闪避百分比,伤害增加百分比,伤害减免百分比,血量百分比,物攻百分比,特攻百分比,物防百分比,特防百分比,速度百分比,血量固定值,物攻固定值,特攻固定值,物防固定值,特防固定值,速度固定值
300809,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,
300810,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,
300900,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,
300901,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,
300902,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,
300903,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,
300904,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,
300905,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,
300906,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,
300907,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,
300908,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,
300909,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,
300910,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,
301000,饰品,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,
301001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,
301002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,
301003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,
301004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,
301005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,,,,
301006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,,,,
301007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,,,,
301008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,,,,
301009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,,,,
301010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660,,,,
301100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,
301101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,
301102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,
301103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,
301104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,
301105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,,
301106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,,
301107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,,
301108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,,
301109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,,
301110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660,,
301200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,
301201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,
301202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,,,,,
301203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,,,,,
301204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420,,,,,
301205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588,,,,,
301206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,784,,,,,
301207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1008,,,,,
301208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1260,,,,,
301209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1540,,,,,
301210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1848,,,,,
301300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,
301301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,
301302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,
301303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,,
301304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,,,
301305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,
301306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540,,,
301307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,,,
301308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880,,,
301309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1080,,,
301310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,,,
301400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,
301401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,
301402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,
301403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,
301404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,
301405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,
301406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540,
301407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,
301408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880,
301409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1080,
301410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,
301500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
301501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
301502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
301503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180
301504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280
301505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400
301506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540
301507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700
301508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880
301509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1080
301510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300
301600,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,10,,,,,
301601,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,50,,,,,
301602,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,100,,,,,
301603,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,180,,,,,
301604,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,280,,,,,
301605,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,400,,,,,
301606,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,540,,,,,
301607,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,700,,,,,
301608,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,880,,,,,
301609,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,1080,,,,,
301610,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,1300,,,,,
400000,400000-天气,0.1,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,
400001,,,0.1,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
400002,,,,0.1,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
400003,,,,,0.1,,,,,,0.1,,,,,,0.1,,,,,,,,,,,,,,,,,,,,
400004,,,,,,0.1,,,,,,,,,0.1,,,0.1,,,,,,,,,,,,,,,,,,,
400005,,,,,,,0.1,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,
400006,,,,,,,,0.1,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,
400007,,,,,,,,,0.1,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,
410001,410001回收道具属性,,,,,,,,,,,,,,,,,,,,,,,,,0.001,0.001,0.001,0.001,0.001,0.001,,,,,,
410002,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,0.002,0.002,0.002,0.002,0.002,,,,,,
410003,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.003,0.003,0.003,0.003,0.003,,,,,,
410004,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,0.004,0.004,0.004,0.004,0.004,,,,,,
410005,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,0.005,0.005,0.005,0.005,0.005,,,,,,
410006,,,,,,,,,,,,,,,,,,,,,,,,,,0.006,0.006,0.006,0.006,0.006,0.006,,,,,,
410007,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,0.007,0.007,0.007,0.007,0.007,,,,,,
410008,,,,,,,,,,,,,,,,,,,,,,,,,,0.008,0.008,0.008,0.008,0.008,0.008,,,,,,
410009,,,,,,,,,,,,,,,,,,,,,,,,,,0.009,0.009,0.009,0.009,0.009,0.009,,,,,,
410010,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,
410011,,,,,,,,,,,,,,,,,,,,,,,,,,0.011,0.011,0.011,0.011,0.011,0.011,,,,,,
410012,,,,,,,,,,,,,,,,,,,,,,,,,,0.012,0.012,0.012,0.012,0.012,0.012,,,,,,
410013,,,,,,,,,,,,,,,,,,,,,,,,,,0.013,0.013,0.013,0.013,0.013,0.013,,,,,,
410014,,,,,,,,,,,,,,,,,,,,,,,,,,0.014,0.014,0.014,0.014,0.014,0.014,,,,,,
410015,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,0.015,0.015,0.015,0.015,0.015,,,,,,
410016,,,,,,,,,,,,,,,,,,,,,,,,,,0.016,0.016,0.016,0.016,0.016,0.016,,,,,,
410017,,,,,,,,,,,,,,,,,,,,,,,,,,0.017,0.017,0.017,0.017,0.017,0.017,,,,,,
410018,,,,,,,,,,,,,,,,,,,,,,,,,,0.018,0.018,0.018,0.018,0.018,0.018,,,,,,
410019,,,,,,,,,,,,,,,,,,,,,,,,,,0.019,0.019,0.019,0.019,0.019,0.019,,,,,,
410020,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,
410021,,,,,,,,,,,,,,,,,,,,,,,,,,0.021,0.021,0.021,0.021,0.021,0.021,,,,,,
410022,,,,,,,,,,,,,,,,,,,,,,,,,,0.022,0.022,0.022,0.022,0.022,0.022,,,,,,
410023,,,,,,,,,,,,,,,,,,,,,,,,,,0.023,0.023,0.023,0.023,0.023,0.023,,,,,,
410024,,,,,,,,,,,,,,,,,,,,,,,,,,0.024,0.024,0.024,0.024,0.024,0.024,,,,,,
410025,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0.025,0.025,0.025,0.025,0.025,,,,,,
410026,,,,,,,,,,,,,,,,,,,,,,,,,,0.026,0.026,0.026,0.026,0.026,0.026,,,,,,
410027,,,,,,,,,,,,,,,,,,,,,,,,,,0.027,0.027,0.027,0.027,0.027,0.027,,,,,,
410028,,,,,,,,,,,,,,,,,,,,,,,,,,0.028,0.028,0.028,0.028,0.028,0.028,,,,,,
410029,,,,,,,,,,,,,,,,,,,,,,,,,,0.029,0.029,0.029,0.029,0.029,0.029,,,,,,
410030,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.03,0.03,0.03,0.03,0.03,,,,,,
410031,,,,,,,,,,,,,,,,,,,,,,,,,,0.031,0.031,0.031,0.031,0.031,0.031,,,,,,
410032,,,,,,,,,,,,,,,,,,,,,,,,,,0.032,0.032,0.032,0.032,0.032,0.032,,,,,,
410033,,,,,,,,,,,,,,,,,,,,,,,,,,0.033,0.033,0.033,0.033,0.033,0.033,,,,,,
410034,,,,,,,,,,,,,,,,,,,,,,,,,,0.034,0.034,0.034,0.034,0.034,0.034,,,,,,
410035,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,0.035,0.035,0.035,0.035,0.035,,,,,,
410036,,,,,,,,,,,,,,,,,,,,,,,,,,0.036,0.036,0.036,0.036,0.036,0.036,,,,,,
410037,,,,,,,,,,,,,,,,,,,,,,,,,,0.037,0.037,0.037,0.037,0.037,0.037,,,,,,
410038,,,,,,,,,,,,,,,,,,,,,,,,,,0.038,0.038,0.038,0.038,0.038,0.038,,,,,,
410039,,,,,,,,,,,,,,,,,,,,,,,,,,0.039,0.039,0.039,0.039,0.039,0.039,,,,,,
410040,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.04,0.04,0.04,0.04,0.04,,,,,,
410041,,,,,,,,,,,,,,,,,,,,,,,,,,0.041,0.041,0.041,0.041,0.041,0.041,,,,,,
410042,,,,,,,,,,,,,,,,,,,,,,,,,,0.042,0.042,0.042,0.042,0.042,0.042,,,,,,
410043,,,,,,,,,,,,,,,,,,,,,,,,,,0.043,0.043,0.043,0.043,0.043,0.043,,,,,,
410044,,,,,,,,,,,,,,,,,,,,,,,,,,0.044,0.044,0.044,0.044,0.044,0.044,,,,,,
410045,,,,,,,,,,,,,,,,,,,,,,,,,,0.045,0.045,0.045,0.045,0.045,0.045,,,,,,
410046,,,,,,,,,,,,,,,,,,,,,,,,,,0.046,0.046,0.046,0.046,0.046,0.046,,,,,,
410047,,,,,,,,,,,,,,,,,,,,,,,,,,0.047,0.047,0.047,0.047,0.047,0.047,,,,,,
410048,,,,,,,,,,,,,,,,,,,,,,,,,,0.048,0.048,0.048,0.048,0.048,0.048,,,,,,
410049,,,,,,,,,,,,,,,,,,,,,,,,,,0.049,0.049,0.049,0.049,0.049,0.049,,,,,,
410050,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,,,,,,
410051,,,,,,,,,,,,,,,,,,,,,,,,,,0.051,0.051,0.051,0.051,0.051,0.051,,,,,,
410052,,,,,,,,,,,,,,,,,,,,,,,,,,0.052,0.052,0.052,0.052,0.052,0.052,,,,,,
410053,,,,,,,,,,,,,,,,,,,,,,,,,,0.053,0.053,0.053,0.053,0.053,0.053,,,,,,
410054,,,,,,,,,,,,,,,,,,,,,,,,,,0.054,0.054,0.054,0.054,0.054,0.054,,,,,,
410055,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,0.055,0.055,0.055,0.055,0.055,,,,,,
410056,,,,,,,,,,,,,,,,,,,,,,,,,,0.056,0.056,0.056,0.056,0.056,0.056,,,,,,
410057,,,,,,,,,,,,,,,,,,,,,,,,,,0.057,0.057,0.057,0.057,0.057,0.057,,,,,,
410058,,,,,,,,,,,,,,,,,,,,,,,,,,0.058,0.058,0.058,0.058,0.058,0.058,,,,,,
410059,,,,,,,,,,,,,,,,,,,,,,,,,,0.059,0.059,0.059,0.059,0.059,0.059,,,,,,
410060,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,,,,,,
410061,,,,,,,,,,,,,,,,,,,,,,,,,,0.061,0.061,0.061,0.061,0.061,0.061,,,,,,
410062,,,,,,,,,,,,,,,,,,,,,,,,,,0.062,0.062,0.062,0.062,0.062,0.062,,,,,,
410063,,,,,,,,,,,,,,,,,,,,,,,,,,0.063,0.063,0.063,0.063,0.063,0.063,,,,,,
410064,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,0.064,0.064,0.064,0.064,0.064,,,,,,
410065,,,,,,,,,,,,,,,,,,,,,,,,,,0.065,0.065,0.065,0.065,0.065,0.065,,,,,,
410066,,,,,,,,,,,,,,,,,,,,,,,,,,0.066,0.066,0.066,0.066,0.066,0.066,,,,,,
410067,,,,,,,,,,,,,,,,,,,,,,,,,,0.067,0.067,0.067,0.067,0.067,0.067,,,,,,
410068,,,,,,,,,,,,,,,,,,,,,,,,,,0.068,0.068,0.068,0.068,0.068,0.068,,,,,,
410069,,,,,,,,,,,,,,,,,,,,,,,,,,0.069,0.069,0.069,0.069,0.069,0.069,,,,,,
410070,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.07,0.07,0.07,0.07,0.07,,,,,,
410071,,,,,,,,,,,,,,,,,,,,,,,,,,0.071,0.071,0.071,0.071,0.071,0.071,,,,,,
410072,,,,,,,,,,,,,,,,,,,,,,,,,,0.072,0.072,0.072,0.072,0.072,0.072,,,,,,
410073,,,,,,,,,,,,,,,,,,,,,,,,,,0.073,0.073,0.073,0.073,0.073,0.073,,,,,,
410074,,,,,,,,,,,,,,,,,,,,,,,,,,0.074,0.074,0.074,0.074,0.074,0.074,,,,,,
410075,,,,,,,,,,,,,,,,,,,,,,,,,,0.075,0.075,0.075,0.075,0.075,0.075,,,,,,
410076,,,,,,,,,,,,,,,,,,,,,,,,,,0.076,0.076,0.076,0.076,0.076,0.076,,,,,,
410077,,,,,,,,,,,,,,,,,,,,,,,,,,0.077,0.077,0.077,0.077,0.077,0.077,,,,,,
410078,,,,,,,,,,,,,,,,,,,,,,,,,,0.078,0.078,0.078,0.078,0.078,0.078,,,,,,
410079,,,,,,,,,,,,,,,,,,,,,,,,,,0.079,0.079,0.079,0.079,0.079,0.079,,,,,,
410080,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.08,0.08,0.08,0.08,0.08,,,,,,
410081,,,,,,,,,,,,,,,,,,,,,,,,,,0.081,0.081,0.081,0.081,0.081,0.081,,,,,,
410082,,,,,,,,,,,,,,,,,,,,,,,,,,0.082,0.082,0.082,0.082,0.082,0.082,,,,,,
410083,,,,,,,,,,,,,,,,,,,,,,,,,,0.083,0.083,0.083,0.083,0.083,0.083,,,,,,
410084,,,,,,,,,,,,,,,,,,,,,,,,,,0.084,0.084,0.084,0.084,0.084,0.084,,,,,,
410085,,,,,,,,,,,,,,,,,,,,,,,,,,0.085,0.085,0.085,0.085,0.085,0.085,,,,,,
410086,,,,,,,,,,,,,,,,,,,,,,,,,,0.086,0.086,0.086,0.086,0.086,0.086,,,,,,
410087,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,0.087,0.087,0.087,0.087,0.087,,,,,,
410088,,,,,,,,,,,,,,,,,,,,,,,,,,0.088,0.088,0.088,0.088,0.088,0.088,,,,,,
410089,,,,,,,,,,,,,,,,,,,,,,,,,,0.089,0.089,0.089,0.089,0.089,0.089,,,,,,
410090,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.09,0.09,0.09,0.09,0.09,,,,,,
410091,,,,,,,,,,,,,,,,,,,,,,,,,,0.091,0.091,0.091,0.091,0.091,0.091,,,,,,
410092,,,,,,,,,,,,,,,,,,,,,,,,,,0.092,0.092,0.092,0.092,0.092,0.092,,,,,,
410093,,,,,,,,,,,,,,,,,,,,,,,,,,0.093,0.093,0.093,0.093,0.093,0.093,,,,,,
410094,,,,,,,,,,,,,,,,,,,,,,,,,,0.094,0.094,0.094,0.094,0.094,0.094,,,,,,
410095,,,,,,,,,,,,,,,,,,,,,,,,,,0.095,0.095,0.095,0.095,0.095,0.095,,,,,,
410096,,,,,,,,,,,,,,,,,,,,,,,,,,0.096,0.096,0.096,0.096,0.096,0.096,,,,,,
410097,,,,,,,,,,,,,,,,,,,,,,,,,,0.097,0.097,0.097,0.097,0.097,0.097,,,,,,
410098,,,,,,,,,,,,,,,,,,,,,,,,,,0.098,0.098,0.098,0.098,0.098,0.098,,,,,,
410099,,,,,,,,,,,,,,,,,,,,,,,,,,0.099,0.099,0.099,0.099,0.099,0.099,,,,,,
500001,家园家具基础属性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,15,,,,
500002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,15,,,
500003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,15,,
500004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,15,
500005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,15
500006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,35
500007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,15,,,
500008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,15,,
500009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,15,
500010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,15
500501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,35,
500502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,35
500503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,15,,
500504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,15,
500505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,15
500506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,35,,
500507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,35,
500508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,35
500509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,15,
500510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,15
501001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,35,,,
501002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,35,,
501003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,35,
501004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,35
501005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,15
501006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,35,,,,
501007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,15,,
501008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,35,,
501009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,15,,
501010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,35
520001,家园附加属性及升级,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,
520002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,
520003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,
520004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,
520005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,
520006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
520007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600000,神器强化属性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,26,26,26,26,3
600001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,53,53,53,53,5
600002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,80,80,80,80,8
600003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,106,106,106,106,11
600004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266,133,133,133,133,13
600005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,160,160,160,160,16
600006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373,186,186,186,186,19
600007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426,213,213,213,213,21
600008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,240,240,240,240,24
600009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533,266,266,266,266,27
600010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586,293,293,293,293,29
600011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640,320,320,320,320,32
600012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,693,346,346,346,346,35
600013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,746,373,373,373,373,37
600014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,400,400,400,400,40
600015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853,426,426,426,426,43
600016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,906,453,453,453,453,45
600017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,960,480,480,480,480,48
600018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1013,506,506,506,506,51
600019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1066,533,533,533,533,53
600020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1120,560,560,560,560,56
600021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1173,586,586,586,586,59
600022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1226,613,613,613,613,61
600023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1280,640,640,640,640,64
600024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1333,666,666,666,666,67
600025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1386,693,693,693,693,69
600026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440,720,720,720,720,72
600027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1493,746,746,746,746,75
600028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1546,773,773,773,773,77
600029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,800,800,800,800,80
600030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1653,826,826,826,826,83
600031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1706,853,853,853,853,85
600032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1760,880,880,880,880,88
600033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1813,906,906,906,906,91
600034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1866,933,933,933,933,93
600035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920,960,960,960,960,96
600036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1973,986,986,986,986,99
600037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026,1013,1013,1013,1013,101
600038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2080,1040,1040,1040,1040,104
600039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2133,1066,1066,1066,1066,107
600040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2186,1093,1093,1093,1093,109
600041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2240,1120,1120,1120,1120,112
600042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2293,1146,1146,1146,1146,115
600043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2346,1173,1173,1173,1173,117
600044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,1200,1200,1200,1200,120
600045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2453,1226,1226,1226,1226,123
600046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2506,1253,1253,1253,1253,125
